@relation GPT

@attribute PatientID numeric
@attribute GPT_0 {VH,H,N,UH}
@attribute GOT_0 {H,N,VH,UH}
@attribute ZTT_0 {N,H,VH,UH}
@attribute TTT_0 {H,N,VH,UH}
@attribute T-BIL_0 {N,H,VH}
@attribute D-BIL_0 {H,N,UH,VH}
@attribute I-BIL_0 {N,H,VH}
@attribute ALB_0 {H,N,L,VL}
@attribute CHE_0 {VL,N,H,L}
@attribute T-CHO_0 {H,N,L,VH}
@attribute TP_0 {H,N,L,VL,VH}
@attribute Type_0 {B,C}
@attribute Activity_0 {A2,A1,A3}
@attribute GPT_1 {UH,H,N,VH}
@attribute GOT_1 {VH,N,H,UH}
@attribute ZTT_1 {N,H,VH,UH}
@attribute TTT_1 {H,N,VH,UH}
@attribute T-BIL_1 {N,H,VH}
@attribute D-BIL_1 {H,N,UH,VH}
@attribute I-BIL_1 {N,H,VH}
@attribute ALB_1 {H,N,L,VL}
@attribute CHE_1 {VL,N,H,L}
@attribute T-CHO_1 {N,L,VH,H}
@attribute TP_1 {H,N,L,VH}
@attribute Type_1 {B,C}
@attribute Activity_1 {A2,A1,A3}
@attribute GPT2 {UH,H,N,VH}

@data
81,N,N,N,N,N,N,N,N,N,H,N,C,A1,N,N,N,N,N,N,N,N,N,H,N,C,A1,N
83,N,N,N,N,N,H,N,N,VL,N,N,B,A2,N,N,N,N,N,H,N,N,VL,N,N,B,A2,N
84,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
86,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,H,N,C,A1,N
87,VH,H,H,N,H,H,H,N,N,H,H,C,A1,VH,H,H,N,N,N,H,N,N,H,H,C,A1,VH
90,N,N,N,N,N,H,N,N,VL,N,N,B,A3,N,N,N,N,N,N,N,H,VL,N,H,B,A3,N
94,N,N,N,N,N,N,N,N,VL,N,N,B,A3,N,N,N,N,N,N,N,N,N,N,N,B,A3,N
95,H,N,H,UH,N,N,N,N,N,N,N,B,A2,N,N,N,H,N,N,N,N,N,N,N,B,A2,N
97,N,N,N,N,N,N,N,N,VL,VH,N,B,A2,N,N,N,N,N,N,H,N,VL,VH,N,B,A2,N
98,N,N,N,N,N,N,N,N,N,N,L,B,A3,N,N,N,N,N,N,N,N,N,N,N,B,A3,N
104,N,N,VH,UH,N,N,N,N,H,N,N,C,A1,N,N,H,VH,N,N,N,N,H,H,N,C,A1,N
106,VH,H,H,H,N,N,N,N,VL,H,N,B,A1,VH,H,H,H,N,N,N,N,VL,N,N,B,A1,VH
111,H,N,VH,N,N,N,N,N,N,N,N,C,A2,VH,H,VH,N,N,N,N,N,N,N,N,C,A2,VH
113,H,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,H,C,A1,N
114,N,N,VH,N,N,N,N,N,N,H,N,B,A2,N,N,H,N,N,N,N,N,N,H,N,B,A2,N
116,N,N,VH,H,N,N,N,N,N,N,N,C,A2,H,H,VH,H,N,N,N,N,N,N,N,C,A2,H
117,N,N,N,N,N,N,N,N,VL,N,N,B,A1,N,N,N,N,N,N,N,N,VL,H,N,B,A1,N
122,H,N,H,H,N,N,N,N,N,N,N,C,A2,H,N,H,H,N,N,N,N,N,N,N,C,A2,H
123,N,N,H,H,N,H,N,N,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
124,N,H,H,H,N,N,N,N,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
125,H,H,H,H,N,N,N,N,N,N,N,C,A2,H,H,H,H,N,N,N,N,N,N,N,C,A2,H
126,H,H,H,H,N,N,N,N,VL,N,N,B,A2,H,H,H,H,N,N,N,L,VL,N,N,B,A2,H
128,N,N,N,N,N,H,N,N,VL,N,N,B,A2,N,N,N,N,N,H,N,N,VL,N,N,B,A2,N
132,N,N,N,N,N,N,N,N,VL,N,N,B,A2,N,N,N,N,N,H,N,N,VL,H,N,B,A2,N
137,N,N,N,H,N,N,N,N,VL,N,N,B,A3,VH,VH,N,N,N,N,N,N,VL,N,N,B,A3,VH
138,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
142,N,N,H,H,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
144,VH,VH,N,N,N,N,N,N,N,VH,N,C,A2,VH,H,N,N,N,N,N,N,N,N,N,C,A2,VH
146,N,H,H,H,N,H,N,N,VL,N,N,B,A3,H,H,H,H,H,H,H,N,VL,N,N,B,A3,H
147,VH,VH,N,N,N,N,N,N,VL,N,N,B,A2,H,H,N,N,N,N,N,N,VL,N,N,B,A2,H
149,VH,VH,H,VH,N,N,N,L,L,N,N,C,A1,VH,VH,VH,VH,N,N,N,L,L,N,H,C,A1,VH
158,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
159,H,VH,H,N,VH,UH,H,N,VL,L,N,B,A2,VH,VH,H,H,VH,UH,H,L,VL,L,L,B,A2,VH
167,VH,H,N,H,N,N,N,N,VL,N,N,B,A1,VH,H,N,H,N,N,N,N,VL,H,N,B,A1,VH
169,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
171,N,N,VH,H,N,N,N,N,N,N,N,C,A1,N,N,VH,N,N,N,N,N,N,N,N,C,A1,N
176,VH,VH,H,UH,N,H,N,N,N,N,N,C,A3,VH,VH,H,UH,N,H,N,N,N,N,H,C,A3,VH
179,H,H,UH,H,N,N,N,N,N,N,H,C,A1,VH,H,UH,H,N,N,N,N,N,N,N,C,A1,VH
181,VH,H,VH,H,N,N,N,N,N,H,H,C,A2,H,H,VH,H,N,N,N,N,H,H,H,C,A2,H
182,N,H,H,N,N,N,N,N,N,N,N,C,A1,VH,VH,H,N,N,N,H,N,N,N,N,C,A1,VH
183,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
184,N,N,H,N,N,N,N,N,N,N,N,C,A1,UH,UH,H,N,N,N,N,N,N,N,N,C,A1,UH
185,H,N,H,H,N,N,N,N,N,N,N,C,A1,N,N,H,H,H,H,H,N,N,N,N,C,A1,N
187,N,N,N,N,N,N,N,N,VL,N,N,C,A1,UH,VH,N,N,N,N,N,N,VL,N,N,C,A1,UH
189,VH,VH,VH,VH,N,H,N,N,VL,N,H,B,A3,H,VH,H,VH,N,H,N,N,VL,N,H,B,A3,H
191,H,N,H,N,N,N,N,N,N,L,N,C,A2,H,N,H,H,N,N,N,N,N,N,N,C,A2,H
193,H,H,H,VH,N,N,N,N,N,N,N,C,A2,VH,H,H,VH,N,N,N,N,N,N,N,C,A2,VH
195,UH,UH,H,N,N,N,N,N,N,N,N,C,A2,VH,H,VH,N,N,H,N,N,N,N,N,C,A2,VH
197,H,H,N,N,N,N,N,N,VL,H,N,B,A1,H,H,N,N,N,N,N,N,VL,H,N,B,A1,H
199,H,H,VH,UH,N,N,N,N,N,N,H,C,A2,H,H,VH,UH,N,N,N,N,N,N,H,C,A2,H
203,N,N,H,N,N,N,N,L,N,N,L,C,A1,N,N,H,N,N,N,N,L,N,N,L,C,A1,N
204,VH,H,H,N,N,N,N,N,N,N,N,C,A1,H,N,H,N,N,N,N,N,N,H,N,C,A1,H
206,VH,H,N,N,N,H,N,N,VL,N,N,C,A1,VH,VH,N,N,N,H,N,N,VL,N,N,C,A1,VH
208,H,H,H,H,N,N,N,N,N,N,N,C,A1,H,H,H,H,N,N,N,N,N,N,N,C,A1,H
210,H,N,H,VH,N,N,N,N,H,N,N,C,A1,H,H,H,VH,N,N,N,N,N,H,N,C,A1,H
212,H,H,H,UH,N,H,N,L,N,N,N,C,A2,VH,VH,H,VH,N,H,N,L,N,N,N,C,A2,VH
215,H,H,UH,VH,N,H,N,L,VL,L,N,C,A2,H,VH,UH,VH,H,H,N,L,VL,N,N,C,A2,H
219,N,N,H,H,N,N,N,N,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
220,N,N,H,H,N,N,N,N,N,N,N,C,A2,N,N,VH,N,N,N,N,N,N,N,N,C,A2,N
221,VH,VH,UH,UH,N,N,N,L,N,N,N,C,A2,VH,VH,VH,UH,N,N,N,N,N,N,H,C,A2,VH
224,H,H,N,N,N,H,N,N,VL,N,N,B,A1,H,H,N,N,N,H,N,N,VL,N,N,B,A1,H
225,N,N,H,N,N,N,N,N,N,N,N,C,A3,N,N,VH,N,N,N,N,N,N,N,N,C,A3,N
226,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,N,N,N,N,N,N,L,C,A1,N
227,H,H,H,H,N,N,N,N,N,N,N,C,A2,VH,H,H,H,N,N,N,N,N,N,N,C,A2,VH
234,H,H,N,N,N,H,N,N,N,N,N,C,A2,VH,H,N,N,N,H,N,N,N,N,N,C,A2,VH
236,H,H,H,N,N,N,N,N,VL,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
239,H,H,VH,VH,N,N,N,N,N,N,N,C,A1,N,H,VH,VH,N,N,N,N,N,N,N,C,A1,N
243,VH,VH,N,N,N,N,N,N,N,N,N,C,A1,H,H,N,N,N,N,N,N,N,L,N,C,A1,H
244,H,H,H,H,N,N,N,N,N,H,H,C,A2,H,H,H,H,N,N,N,N,N,N,H,C,A2,H
247,VH,VH,N,N,N,H,N,N,N,N,N,C,A2,H,H,N,N,N,N,N,N,N,N,N,C,A2,H
248,N,N,N,N,N,N,N,N,N,N,N,C,A2,N,N,N,N,N,N,N,N,N,N,N,C,A2,N
260,N,N,H,N,H,N,N,L,L,L,VH,C,A3,N,N,H,N,N,N,N,L,L,N,N,C,A3,N
267,VH,VH,N,H,N,N,N,N,VL,N,N,B,A2,H,H,H,H,N,N,N,N,VL,H,N,B,A2,H
275,H,H,N,N,N,N,N,N,N,N,N,C,A2,H,H,N,N,N,N,N,N,N,N,N,C,A2,H
276,N,N,H,H,N,N,N,N,N,N,N,C,A1,UH,VH,H,H,N,N,N,N,N,N,N,C,A1,UH
278,N,N,N,H,N,N,N,N,N,N,N,B,A3,N,N,N,H,N,N,N,N,N,N,N,B,A3,N
285,H,H,H,H,N,N,N,L,N,N,N,C,A1,N,H,VH,H,N,N,N,L,N,N,N,C,A1,N
287,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,N,N,N,N,N,N,N,C,A1,N
289,UH,UH,H,VH,N,N,N,N,N,N,H,C,A1,VH,VH,H,H,N,N,N,N,N,N,H,C,A1,VH
290,N,N,H,H,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
291,N,N,N,N,N,N,N,N,N,N,N,C,A3,N,N,N,N,N,N,N,N,N,N,H,C,A3,N
294,VH,VH,H,H,N,H,N,N,VL,N,N,C,A2,H,H,H,H,N,H,N,N,VL,N,H,C,A2,H
296,N,N,N,N,N,H,N,N,VL,N,N,B,A1,H,N,N,N,N,H,N,N,VL,H,N,B,A1,H
298,H,N,N,N,N,N,N,N,VL,N,N,B,A1,VH,H,N,N,N,H,N,N,VL,H,N,B,A1,VH
299,H,H,N,N,N,H,N,N,N,N,N,B,A3,H,H,N,N,N,H,N,N,N,N,N,B,A3,H
305,N,N,N,N,H,H,N,N,VL,N,L,B,A1,N,N,N,N,H,VH,N,N,VL,N,N,B,A1,N
306,H,N,H,N,N,N,N,N,N,N,N,B,A3,VH,H,H,H,N,N,N,N,N,N,N,B,A3,VH
308,N,N,N,N,N,N,N,N,N,N,N,B,A2,UH,H,N,N,N,N,N,N,N,N,N,B,A2,UH
309,H,N,N,N,N,N,N,N,N,N,N,B,A2,UH,H,H,N,N,N,N,N,N,N,N,B,A2,UH
310,H,N,N,N,N,H,N,H,VL,N,N,B,A2,N,N,N,N,N,H,N,H,VL,N,H,B,A2,N
313,VH,H,H,N,N,H,N,N,N,N,N,B,A2,H,H,N,N,N,N,N,N,N,N,N,B,A2,H
317,N,N,N,N,N,H,N,N,VL,N,N,B,A1,H,N,N,N,N,H,N,N,VL,N,N,B,A1,H
318,H,H,N,N,N,N,N,N,VL,N,N,B,A2,N,N,N,N,N,H,N,N,VL,N,N,B,A2,N
319,N,N,H,N,N,N,N,N,N,N,N,B,A2,N,N,H,N,N,N,N,N,N,N,N,B,A2,N
325,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,H,N,H,N,N,N,N,C,A1,N
326,N,N,H,N,N,N,N,N,N,N,N,B,A2,N,N,H,N,N,N,N,N,N,N,N,B,A2,N
328,UH,UH,H,H,N,H,N,N,VL,N,N,B,A2,UH,UH,H,H,N,H,N,N,VL,N,H,B,A2,UH
330,N,N,H,N,N,N,N,N,N,N,N,C,A1,H,N,H,N,N,N,N,N,N,N,L,C,A1,H
331,N,N,N,N,N,H,N,N,N,N,N,B,A1,N,N,N,N,N,H,N,N,N,N,N,B,A1,N
334,H,H,H,N,N,N,N,N,N,N,N,B,A2,N,N,H,N,N,N,N,N,N,N,L,B,A2,N
340,H,H,N,N,N,N,N,N,VL,N,N,B,A2,VH,H,N,N,N,N,N,N,VL,N,N,B,A2,VH
341,N,N,H,N,N,N,N,N,N,H,N,B,A2,H,N,N,N,N,N,N,N,N,N,N,B,A2,H
345,H,N,N,N,H,UH,H,N,VL,N,N,B,A1,H,N,N,N,H,VH,H,H,VL,N,H,B,A1,H
347,N,N,N,N,N,N,N,N,N,N,L,C,A1,N,N,N,N,N,N,N,N,N,N,L,C,A1,N
348,N,N,H,H,N,N,N,N,N,N,N,C,A1,N,N,H,H,N,N,N,N,N,H,H,C,A1,N
351,H,N,N,N,N,N,N,H,N,N,N,C,A2,N,N,N,N,N,N,N,N,N,N,N,C,A2,N
352,UH,UH,VH,UH,N,H,N,L,N,N,N,B,A2,H,N,VH,UH,N,N,N,N,N,N,N,B,A2,H
357,N,N,N,H,H,VH,N,H,VL,VH,H,B,A1,N,N,N,N,N,H,N,H,VL,VH,H,B,A1,N
358,H,VH,H,VH,H,VH,N,N,VL,N,N,B,A2,H,VH,H,H,H,UH,H,N,VL,N,N,B,A2,H
360,H,H,N,N,N,N,N,N,N,N,N,C,A1,H,H,N,N,N,N,N,N,N,N,N,C,A1,H
365,H,N,N,N,N,H,N,N,VL,N,N,B,A2,H,N,N,N,N,H,N,N,VL,N,N,B,A2,H
367,VH,H,N,N,N,H,N,H,VL,N,H,B,A1,UH,VH,N,N,N,H,N,H,VL,N,N,B,A1,UH
369,N,N,N,N,N,N,N,N,VL,N,N,B,A1,N,N,N,N,N,N,N,N,VL,N,N,B,A1,N
370,N,N,N,N,N,N,N,N,VL,N,N,B,A2,H,N,N,N,N,N,N,N,VL,N,N,B,A2,H
377,H,H,N,N,N,N,N,N,VL,N,N,B,A2,H,H,N,N,N,N,N,N,VL,N,N,B,A2,H
379,H,H,N,N,N,H,N,N,N,N,N,B,A1,VH,H,N,N,N,N,N,N,N,N,N,B,A1,VH
380,H,H,H,N,N,N,N,N,N,N,N,B,A1,H,H,H,N,N,N,N,N,H,H,N,B,A1,H
389,H,H,N,N,N,N,N,N,N,N,N,B,A2,VH,H,H,VH,N,N,N,N,N,N,N,B,A2,VH
391,UH,UH,H,VH,H,H,N,N,N,N,N,B,A2,UH,UH,H,VH,N,H,N,N,N,N,N,B,A2,UH
394,H,N,N,N,N,H,N,N,N,N,N,B,A2,N,N,N,N,N,H,N,N,N,N,N,B,A2,N
399,H,N,N,N,N,N,N,N,VL,N,N,B,A1,H,N,N,N,N,H,N,N,VL,H,N,B,A1,H
400,H,H,N,N,N,H,N,N,VL,N,N,B,A1,H,H,N,N,N,H,N,N,VL,N,N,B,A1,H
401,N,N,N,N,N,H,N,N,VL,N,N,B,A2,H,H,N,N,N,N,N,N,VL,N,N,B,A2,H
402,H,N,N,N,N,N,N,N,VL,N,N,B,A1,VH,H,N,N,N,N,N,N,VL,N,N,B,A1,VH
404,VH,VH,VH,H,H,UH,H,L,L,N,N,C,A2,VH,VH,VH,H,H,UH,H,L,L,N,N,C,A2,VH
405,H,H,N,N,N,N,N,N,N,H,N,B,A1,VH,H,N,N,N,N,N,N,N,N,N,B,A1,VH
407,UH,VH,H,UH,N,H,N,L,L,N,N,B,A2,N,N,H,VH,N,N,N,N,N,N,N,B,A2,N
409,H,N,N,N,N,N,N,N,VL,N,N,B,A1,N,N,N,N,N,N,N,N,VL,N,N,B,A1,N
411,N,N,N,N,N,N,N,N,N,N,N,B,A1,H,H,N,N,N,N,N,N,N,N,N,B,A1,H
412,VH,H,N,H,N,N,N,N,N,N,N,C,A1,H,N,N,N,N,N,N,N,N,N,N,C,A1,H
413,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
415,N,N,N,N,N,N,N,N,VL,H,N,B,A2,N,N,N,N,N,N,N,N,VL,H,N,B,A2,N
417,VH,H,N,N,N,H,N,N,VL,N,N,B,A2,H,H,N,N,N,H,N,N,VL,N,N,B,A2,H
421,H,N,N,N,N,H,N,N,VL,VH,N,B,A2,N,N,N,N,N,H,N,N,VL,VH,N,B,A2,N
423,N,N,N,N,N,H,N,N,VL,N,N,B,A1,N,N,N,N,N,H,N,N,VL,N,N,B,A1,N
424,H,H,N,N,H,VH,H,N,N,N,N,B,A1,H,N,N,N,N,H,N,N,N,N,N,B,A1,H
425,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
428,N,N,H,H,N,H,N,N,N,N,N,B,A2,N,N,N,N,N,N,N,N,N,N,N,B,A2,N
431,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,N,N,N,N,N,N,N,C,A1,N
432,H,H,H,H,N,N,N,N,N,N,H,C,A2,H,H,H,H,N,N,N,N,N,N,H,C,A2,H
436,H,N,N,N,N,N,N,N,N,N,N,B,A2,H,N,H,N,N,N,N,N,N,N,N,B,A2,H
437,UH,VH,H,H,N,H,N,N,N,L,N,B,A3,UH,UH,H,UH,VH,UH,H,L,L,L,N,B,A3,UH
439,UH,VH,H,VH,N,N,N,N,N,H,N,C,A2,UH,VH,H,UH,N,N,N,N,N,H,N,C,A2,UH
441,VH,H,H,N,N,N,N,N,N,N,N,C,A1,VH,H,H,N,N,H,N,N,N,N,N,C,A1,VH
442,H,H,H,H,N,H,N,N,VL,N,N,B,A3,N,N,N,N,N,N,N,N,VL,N,N,B,A3,N
444,N,H,N,H,N,N,N,N,VL,N,H,B,A3,N,N,N,N,N,N,N,N,VL,N,N,B,A3,N
446,VH,H,N,N,N,N,N,N,N,H,N,B,A2,UH,VH,N,N,N,N,N,N,N,N,N,B,A2,UH
450,H,N,H,N,N,N,N,N,N,N,N,B,A2,N,N,H,N,N,N,N,N,N,N,N,B,A2,N
451,H,H,H,N,N,N,N,N,N,VH,N,B,A1,H,N,N,N,N,N,N,N,N,H,N,B,A1,H
452,VH,H,H,N,N,N,N,N,N,N,N,C,A1,H,N,H,H,N,N,N,N,N,N,N,C,A1,H
459,UH,UH,H,H,N,N,N,L,N,N,N,C,A1,UH,VH,H,H,N,N,N,N,N,N,N,C,A1,UH
460,UH,VH,N,N,N,N,N,N,N,N,N,C,A2,UH,VH,H,H,N,N,N,N,N,N,N,C,A2,UH
464,H,N,H,N,H,H,H,N,N,N,N,C,A1,H,N,H,N,H,N,H,N,N,N,N,C,A1,H
465,H,H,N,N,N,H,N,N,N,N,N,B,A2,H,N,N,N,N,H,N,N,N,N,N,B,A2,H
466,VH,H,N,N,N,N,N,N,N,H,N,B,A1,VH,H,N,N,N,N,N,N,N,VH,N,B,A1,VH
467,H,H,N,N,N,H,N,N,N,N,L,B,A1,N,N,N,N,H,H,N,N,N,N,L,B,A1,N
468,N,N,N,N,N,N,N,N,VL,N,N,B,A1,N,N,N,N,N,N,N,N,VL,N,N,B,A1,N
469,UH,UH,N,N,N,N,N,N,N,N,N,B,A1,H,H,N,N,N,N,N,N,N,N,N,B,A1,H
475,N,N,N,N,N,H,N,N,VL,N,H,B,A2,N,N,N,N,N,H,N,N,VL,N,H,B,A2,N
477,UH,VH,N,N,N,H,N,N,N,N,N,B,A1,UH,VH,H,N,H,VH,H,N,N,N,N,B,A1,UH
481,H,N,H,N,N,N,N,L,N,N,N,B,A2,N,N,H,N,N,N,N,L,N,N,N,B,A2,N
483,N,N,H,N,N,N,N,N,N,N,N,C,A1,H,H,H,N,N,N,N,N,N,N,N,C,A1,H
490,H,H,N,N,N,H,N,N,N,N,N,B,A2,H,H,N,N,H,H,H,N,N,N,N,B,A2,H
493,H,H,H,N,H,H,H,N,N,N,N,C,A1,H,N,H,N,H,H,H,N,N,N,L,C,A1,H
494,N,N,N,N,N,N,N,N,N,N,N,C,A2,N,N,N,N,N,N,N,N,N,N,N,C,A2,N
495,H,H,N,N,N,N,N,N,VL,N,N,B,A2,H,H,N,N,N,N,N,N,VL,N,L,B,A2,H
498,VH,VH,H,H,N,N,N,N,N,L,H,C,A1,VH,VH,H,H,N,N,N,N,N,L,N,C,A1,VH
502,VH,H,N,N,N,N,N,N,VL,N,N,C,A1,N,N,N,N,N,N,N,N,VL,N,N,C,A1,N
509,VH,H,VH,H,N,N,N,N,N,N,N,C,A2,VH,H,VH,H,N,H,N,N,N,N,N,C,A2,VH
510,N,N,H,H,N,N,N,N,N,N,N,B,A1,N,N,H,H,N,N,N,N,N,N,N,B,A1,N
513,N,N,H,H,N,N,N,N,N,N,N,C,A1,N,N,H,H,N,N,N,N,N,N,N,C,A1,N
518,N,N,N,H,N,N,N,H,H,H,H,B,A1,N,N,N,H,N,N,N,N,H,H,N,B,A1,N
520,UH,H,N,N,N,N,N,N,N,N,N,C,A1,VH,H,N,N,N,N,N,N,N,N,N,C,A1,VH
525,N,N,N,N,N,N,N,N,VL,N,N,B,A1,N,N,N,N,N,H,N,N,VL,N,N,B,A1,N
527,H,N,N,N,H,VH,N,N,L,N,L,B,A1,H,N,N,N,H,H,N,N,L,N,N,B,A1,H
534,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,H,H,H,N,N,N,N,C,A1,N
535,N,N,VH,VH,N,N,N,N,N,H,N,C,A2,N,N,VH,UH,N,N,N,N,N,N,N,C,A2,N
536,H,H,H,H,N,N,N,N,N,N,N,C,A1,H,N,H,H,N,N,N,N,N,N,N,C,A1,H
537,H,H,H,N,N,H,N,N,VL,N,N,C,A2,UH,UH,N,N,N,H,N,N,VL,N,N,C,A2,UH
540,H,H,N,N,N,H,N,N,VL,N,L,B,A2,N,N,N,N,N,H,N,N,VL,N,N,B,A2,N
542,H,H,H,H,N,H,N,N,VL,H,N,B,A3,H,H,H,H,N,N,N,N,VL,N,N,B,A3,H
543,H,VH,N,N,H,VH,H,L,VL,N,L,B,A2,VH,H,N,N,H,VH,H,L,VL,N,N,B,A2,VH
544,VH,H,N,N,N,H,N,H,VL,VH,H,B,A2,VH,H,N,N,N,N,N,N,VL,H,N,B,A2,VH
545,H,N,N,H,N,N,N,N,N,N,N,B,A2,H,N,N,N,N,N,N,N,N,N,N,B,A2,H
